KEY;FILE;TYPE;FR
CONS1_014223;419038-1;102;Anémomètre thermomètre HD 2103.1 avec sonde extensible à fil chaud AP471 S1
CONS1_014237;419100-1;102;Anémomètre thermomètre HD 2103.1 avec sonde extensible à fil chaud AP471 S3 avec terminaison à galber
CONS1_014230;419069-1;102;Anémomètre thermomètre HD 2103.1 avec sonde extensible omni-directionelle à fil chaud AP471 S2
CONS1_014251;419170-1;102;Anémomètre thermomètre HD 2103.1 avec sonde extensible omni-directionelle à fil chaud AP471 S5
CONS1_014244;419131-1;102;Anémomètre thermomètre HD 2103.1 avec sonde extensible omni-directionelle à fil chaud avec base AP471 S2
CONS1_014166;366657-1;102;Anémomètre thermomètre HD 2103.2
CONS1_014258;419071-1;102;Anémomètre thermomètre HD 2103.2 avec sonde extensible à fil chaud AP471 S1
CONS1_014272;419133-1;102;Anémomètre thermomètre HD 2103.2 avec sonde extensible à fil chaud AP471 S3 avec terminaison à galber
CONS1_014265;419102-1;102;Anémomètre thermomètre HD 2103.2 avec sonde extensible omni-directionelle à fil chaud AP471 S2
CONS1_014286;419203-1;102;Anémomètre thermomètre HD 2103.2 avec sonde extensible omni-directionelle à fil chaud AP471 S5
CONS1_014279;419164-1;102;Anémomètre thermomètre HD 2103.2 avec sonde extensible omni-directionelle à fil chaud avec base AP471 S4
CONS1_014293;419103-1;102;Anémomètre thermomètre HD 2303.0 avec sonde extensible à fil chaud AP471 S1
CONS1_014307;419165-1;102;Anémomètre thermomètre HD 2303.0 avec sonde extensible à fil chaud AP471 S3 avec terminaison à galber
CONS1_014300;419134-1;102;Anémomètre thermomètre HD 2303.0 avec sonde extensible omni-directionelle à fil chaud AP471 S2
CONS1_014321;419235-1;102;Anémomètre thermomètre HD 2303.0 avec sonde extensible omni-directionelle à fil chaud AP471 S5
CONS1_014314;419196-1;102;Anémomètre thermomètre HD 2303.0 avec sonde extensible omni-directionelle à fil chaud avec base AP471 S2
CONS1_014335;380769-1;102;Anémomètre thermomètre HD2103.1 avec sonde  diamètre 100 AP472 S1L
CONS1_014328;380653-1;102;Anémomètre thermomètre HD2103.1 avec sonde diamètre 100 AP472 S1H
CONS1_014370;379500-1;102;Anémomètre thermomètre HD2103.1 avec sonde diamètre 16mm AP472 S4H
CONS1_014377;382068-1;102;Anémomètre thermomètre HD2103.1 avec sonde diamètre 16mm AP472 S4HT
CONS1_014384;379616-1;102;Anémomètre thermomètre HD2103.1 avec sonde diamètre 16mm AP472 S4L
CONS1_014391;382184-1;102;Anémomètre thermomètre HD2103.1 avec sonde diamètre 16mm AP472 S4LT
CONS1_014454;377239-1;102;Anémomètre thermomètre HD2103.1 avec sonde diamètre 60 AP472 S2
CONS1_014349;380800-1;102;Anémomètre thermomètre HD2103.2 avec sonde  diamètre 100 AP472 S1L
CONS1_014342;380684-1;102;Anémomètre thermomètre HD2103.2 avec sonde diamètre 100 AP472 S1H
CONS1_014398;379531-1;102;Anémomètre thermomètre HD2103.2 avec sonde diamètre 16mm AP472 S4H
CONS1_014405;382101-1;102;Anémomètre thermomètre HD2103.2 avec sonde diamètre 16mm AP472 S4HT
CONS1_014412;379647-1;102;Anémomètre thermomètre HD2103.2 avec sonde diamètre 16mm AP472 S4L
CONS1_014419;382217-1;102;Anémomètre thermomètre HD2103.2 avec sonde diamètre 16mm AP472 S4LT
CONS1_014461;377272-1;102;Anémomètre thermomètre HD2103.2 avec sonde diamètre 60 AP472 S2
CONS1_014447;359171-1;102;Anémomètre thermomètre HD2303.0
